user, scene, technique, session, index, phrase, rate, error, undo
yzc, scanning, 5keys, 1, 10, a picture is worth many words, 3.39158698007, 0.0, No
yzc, scanning, dynamic, 1, 1, an occasional taste of chocolate, 6.07572963003, 0.0, Yes
yzc, scanning, dynamic, 1, 2, yes you are very smart, 3.67816091954, 0.0, No
yzc, scanning, dynamic, 1, 3, an airport is a very busy place, 4.3015686387, 0.0, No
yzc, scanning, dynamic, 1, 4, want to join us for lunch, 3.45671899755, 0.0, Yes
yzc, scanning, dynamic, 1, 5, time to go shopping, 4.25871706149, 0.0, No
yzc, scanning, dynamic, 1, 6, stability of the nation, 5.23994585389, 0.0, No
yzc, scanning, dynamic, 1, 7, interactions between men and women, 4.19472862436, 0.0, Yes
yzc, scanning, dynamic, 1, 8, the second largest country, 5.35537574946, 0.0, No
yzc, scanning, dynamic, 1, 9, the food at this restaurant, 4.84559068804, 0.0, No
yzc, scanning, dynamic, 1, 10, the kids are very excited, 4.24821726597, 0.0, No
zmy, scanning, 5keys, 1, 1, staying up all night is a bad idea, 3.51776252931, 0.0, Yes
zmy, scanning, 5keys, 1, 2, what you see is what you get, 3.18817476994, 0.0, No
zmy, scanning, 5keys, 1, 3, the winner of the race, 3.93471291169, 0.0, Yes
zmy, scanning, 5keys, 1, 4, the fourth edition was better, 3.81592001832, 0.0, Yes
zmy, scanning, 5keys, 1, 5, important news always seems to be late, 2.88452871007, 0.0, No
zmy, scanning, 5keys, 1, 6, the kids are very excited, 3.26175591193, 0.0, No
zmy, scanning, 5keys, 1, 7, love means many things, 2.94220123108, 0.0, No
zmy, scanning, 5keys, 1, 8, information super highway, 3.54514276906, 0.0, No
zmy, scanning, 5keys, 1, 9, would you like to come to my house, 2.28623040122, 0.0, No
zmy, scanning, 5keys, 1, 10, the facts get in the way, 3.7088247255, 0.0, No
zmy, scanning, dynamic, 1, 1, what you see is what you get, 3.67186848035, 0.0, No
zmy, scanning, dynamic, 1, 2, the winner of the race, 3.92905866303, 0.0, No
zmy, scanning, dynamic, 1, 3, the facts get in the way, 3.67510759361, 0.0, No
zmy, scanning, dynamic, 1, 4, staying up all night is a bad idea, 3.49051420445, 0.0, No
zmy, scanning, dynamic, 1, 5, the fourth edition was better, 4.40722785368, 0.0, No
zmy, scanning, dynamic, 1, 6, would you like to come to my house, 3.93351867814, 0.0, Yes
zmy, scanning, dynamic, 1, 7, the kids are very excited, 4.06196102452, 0.0, No
zmy, scanning, dynamic, 1, 8, important news always seems to be late, 4.60774196645, 0.0, Yes
zmy, scanning, dynamic, 1, 9, information super highway, 5.64821446843, 0.0, No
zmy, scanning, dynamic, 1, 10, love means many things, 3.96266750091, 0.0, No
zpj, scanning, 5keys, 1, 1, bad for the environment, 4.06380168648, 0.0, No
zpj, scanning, 5keys, 1, 2, the fourth edition was better, 3.9080819134, 0.0, No
zpj, scanning, 5keys, 1, 3, elections bring out the best, 4.02077399899, 0.0, No
zpj, scanning, 5keys, 1, 4, we better investigate this, 3.28391595079, 0.0, No
zpj, scanning, 5keys, 1, 5, take a coffee break, 4.15962563369, 0.0, No
zpj, scanning, 5keys, 1, 6, space is a high priority, 3.43839541547, 0.0, No
zpj, scanning, 5keys, 1, 7, win first prize in the contest, 3.44898944609, 0.0, No
zpj, scanning, 5keys, 1, 8, travel at the speed of light, 3.05908692905, 0.0, No
zpj, scanning, 5keys, 1, 9, what you see is what you get, 3.27742672344, 0.0, No
zpj, scanning, 5keys, 1, 10, the music is better than it sounds, 3.0928119736, 0.0, No
zpj, scanning, dynamic, 1, 1, what you see is what you get, 3.78261430229, 0.0, No
zpj, scanning, dynamic, 1, 2, we better investigate this, 4.97602134641, 0.0, No
zpj, scanning, dynamic, 1, 3, win first prize in the contest, 3.02187839961, 0.0, No
zpj, scanning, dynamic, 1, 4, space is a high priority, 5.34664052754, 0.0, No
zpj, scanning, dynamic, 1, 5, the music is better than it sounds, 4.61741424802, 0.0, No
zpj, scanning, dynamic, 1, 6, elections bring out the best, 3.9046082512, 0.0, No
zpj, scanning, dynamic, 1, 7, travel at the speed of light, 3.97551314368, 0.0, No
zpj, scanning, dynamic, 1, 8, bad for the environment, 5.19244499254, 0.0, No
zpj, scanning, dynamic, 1, 9, take a coffee break, 4.55970361926, 0.0, No
zpj, scanning, dynamic, 1, 10, the fourth edition was better, 3.40769685129, 0.0, No
